# 装備データ #で始まる行はコメント行となる
# 名称,部位,Cri,DH,Det,SS,Pie,上位マテリアスロット数,下位マテリアスロット数,サブステ上限値
# 部位については、WEAPON 0, HEAD 1, BODY 2, HANDS 3, LEGS 4, FEET 5, EARINGS 6, NECKLACE 7, BRACELETS 8, LRING 9, RRING 10
武器|新式,0,177,0,253,0,0,3,2,253
頭　|新式,1,154,0,108,0,0,3,2,154
胴　|新式,2,0,0,244,0,171,3,2,244
胴　|N 　,2,244,0,171,0,0,2,0,244
手　|新式,3,108,0,0,154,0,3,2,154
脚　|新式,4,0,0,171,0,244,3,2,244
脚　|N 　,4,244,0,171,0,0,2,0,244
足　|新式,5,154,0,108,0,0,3,2,154
耳　|新式,6,0,0,0,85,121,2,3,121
耳　|N 　,6,121,0,85,0,0,1,0,121
首　|新式,7,85,0,121,0,0,2,3,121
腕　|新式,8,85,0,0,0,121,2,3,121
腕　|N 　,8,121,0,85,0,0,1,0,121
指1 |新式,9,121,0,85,0,0,2,3,121
指2 |新式,10,121,0,85,0,0,2,3,121
